euro
afghani
Lek
Dram
florin
mark
Real
Lev
Riel
Renminbi
colón
Quetzal
Gourde
Lempira
Forint
rial
sjekel
Yen
escudo
shilling
Kuna
Kip
Lats
Litas
Ariary
Ringgit
Metical
Kyat
Hryvnja
rupee
Balboa
Zloty
leu
roebel
riyal
dinar
roepia
gulden
roepie
pond
shilling
Baht
Coruna
lira
Bolivar
sterling
dirham
dollar
Dong
roebel
Rand
won
kroon
frank
